csduid,name,fsa_count,population,households_renter,total_applications,landlord_filed,tenant_filed,coop_filed,total_applications_per_10k,landlord_filed_per_10k,tenant_filed_per_10k,total_applications_per_1k_renter,landlord_filed_per_1k_renter,tenant_filed_per_1k_renter
3552037,Point Grondine 3,0.51,5,61,3.0,2.5,0.5,0.0,6080.11,5066.6,1013.48,,,
3556091,"Cochrane, Unorganized, South West Part",0.04,5,35,1.0,0.9,0.1,0.0,1905.11,1748.83,153.12,,,
3548091,"Nipissing, Unorganized, South Part",0.36,102,643,11.5,7.2,4.3,0.0,1130.17,706.91,423.25,17.93,11.21,6.71
3554091,"Timiskaming, Unorganized, East Part",0.02,5,16,0.4,0.4,0.0,0.0,866.11,799.48,66.62,,,
3552093,"Sudbury, Unorganized, North Part",1.53,2902,7939,133.6,114.0,18.2,1.4,460.35,392.7,62.71,16.83,14.36,2.29
3557074,Garden River 14,0.37,1071,1664,41.1,34.8,5.1,1.1,383.38,325.2,47.92,24.67,20.92,3.08
3538025,Sarnia 45,0.12,648,757,21.2,17.7,3.4,0.1,327.43,273.17,52.39,28.02,23.38,4.48
3548094,"Nipissing, Unorganized, North Part",0.54,1591,2625,52.1,42.8,9.3,0.0,327.3,269.09,58.21,19.84,16.31,3.53
3549075,Henvey Inlet 2,0.1,15,13,0.3,0.3,0.0,0.0,205.39,205.28,0.11,,,
3551034,Cockburn Island,0.03,16,46,0.3,0.2,0.1,0.0,187.71,146.0,41.71,,,
3558090,"Thunder Bay, Unorganized",2.79,6221,5882,116.0,96.0,19.2,0.9,186.54,154.27,30.82,19.73,16.32,3.26
3557066,Prince,0.15,975,701,17.3,14.7,2.2,0.5,177.27,150.36,22.16,24.67,20.93,3.08
3556092,"Cochrane, Unorganized, North Part",1.5,2546,2824,44.8,37.9,6.9,0.0,175.85,148.84,27.0,15.85,13.42,2.43
3557094,"Algoma, Unorganized, South East Part",0.01,5,12,0.1,0.1,0.0,0.0,155.78,121.16,34.62,,,
3515008,Hiawatha First Nation,0.03,341,180,4.6,3.9,0.7,0.0,134.99,114.44,19.81,25.62,21.72,3.76
3559064,Rainy Lake 26A,0.07,158,72,2.0,1.9,0.1,0.0,128.44,119.27,9.17,,,
3557095,"Algoma, Unorganized, North Part",2.24,6050,3451,71.0,58.9,11.3,0.8,117.28,97.27,18.66,20.56,17.05,3.27
3515005,Otonabee-South Monaghan,0.47,7087,3249,82.3,69.8,12.1,0.4,116.13,98.44,17.08,25.34,21.47,3.73
3530004,North Dumfries,0.88,10619,4892,122.0,105.8,14.9,1.3,114.91,99.62,14.03,24.95,21.63,3.04
3523009,Guelph/Eramosa,1.25,13904,8314,158.9,133.2,21.2,4.5,114.26,95.83,15.22,19.11,16.03,2.55
3543023,Oro-Medonte,1.7,23017,8210,259.3,214.8,43.7,0.9,112.67,93.32,18.98,31.59,26.16,5.32
3531013,Perth South,1.32,3776,2340,42.4,31.3,7.0,4.1,112.26,82.94,18.41,18.11,13.38,2.97
3559061,Rainy Lake 18C,0.04,125,44,1.2,1.1,0.1,0.0,98.29,91.27,7.02,,,
3560060,Northwest Angle 33B,0.04,52,68,0.5,0.5,0.0,0.0,95.62,95.62,0.0,,,
3502001,East Hawkesbury,0.67,3418,1597,32.3,25.4,6.8,0.0,94.36,74.46,19.91,20.19,15.93,4.26
3507014,Elizabethtown-Kitley,0.73,9545,3071,89.8,76.3,12.9,0.6,94.03,79.94,13.52,29.23,24.85,4.2
3559090,"Rainy River, Unorganized",1.17,1423,596,13.3,11.8,1.5,0.0,93.3,82.81,10.48,22.26,19.76,2.5
3559011,Alberton,0.31,954,305,8.6,8.0,0.6,0.0,90.04,83.61,6.43,28.14,26.13,2.01
3543069,Christian Island 30,0.21,679,249,6.0,5.4,0.6,0.0,88.25,78.8,9.46,24.03,21.46,2.58
3526014,Wainfleet,0.74,6887,2116,57.6,46.0,11.5,0.1,83.68,66.73,16.77,27.24,21.72,5.46
3543019,Ramara,0.57,10377,2596,84.0,69.4,14.3,0.4,80.97,66.86,13.75,32.37,26.73,5.5
3560065,Lake of the Woods 37,0.03,49,53,0.4,0.4,0.0,0.0,78.77,78.74,0.04,,,
3507006,Augusta,0.46,7386,1957,57.4,48.8,8.2,0.4,77.71,66.1,11.12,29.33,24.94,4.2
3559063,Couchiching 16A,0.17,633,174,4.9,4.5,0.3,0.0,77.21,71.7,5.52,28.14,26.13,2.01
3501005,South Glengarry,0.78,13330,4229,101.4,90.8,10.5,0.0,76.04,68.14,7.9,23.97,21.48,2.49
3534024,Southwold,1.13,4851,1328,36.9,33.1,2.7,1.0,75.98,68.3,5.54,27.76,24.95,2.02
3560089,The Dalles 38C,0.11,180,180,1.3,1.3,0.0,0.0,73.31,73.31,0.0,7.32,7.32,0.0
3539047,Adelaide-Metcalfe,0.62,3011,1367,22.0,19.1,2.9,0.0,73.15,63.58,9.57,16.12,14.01,2.11
3554094,"Timiskaming, Unorganized, West Part",1.03,3210,1828,22.9,18.3,4.5,0.0,71.19,57.07,14.12,12.5,10.02,2.48
3547098,"Head, Clara and Maria",0.11,267,215,1.9,1.5,0.3,0.0,70.09,57.72,12.37,8.72,7.18,1.54
3548073,Nipissing 10,0.08,1640,555,11.2,9.5,1.7,0.0,68.03,57.72,10.31,20.12,17.07,3.05
3509001,Montague,0.51,3914,1085,26.0,23.1,2.9,0.0,66.51,58.97,7.53,24.0,21.28,2.72
3523001,Puslinch,0.87,7944,2411,52.5,38.6,13.2,0.7,66.09,48.57,16.67,21.77,16.0,5.49
3532012,South-West Oxford,1.06,7583,2349,50.0,41.6,5.6,2.7,65.9,54.92,7.41,21.27,17.73,2.39
3519076,Chippewas of Georgina Island First Nation,0.03,231,49,1.5,1.2,0.3,0.0,65.84,50.34,15.01,,,
3538007,Dawn-Euphemia,0.16,1968,638,12.6,10.6,2.0,0.0,64.08,53.67,10.41,19.78,16.56,3.21
3549073,Parry Island First Nation,0.07,367,112,2.3,1.8,0.5,0.0,63.77,50.24,13.52,20.88,16.45,4.43
3542047,Meaford,1.3,11485,3249,70.2,58.8,11.3,0.0,61.09,51.22,9.87,21.6,18.11,3.49
3532038,East Zorra-Tavistock,0.49,7841,2200,47.6,41.3,5.8,0.4,60.65,52.71,7.4,21.61,18.78,2.64
3512048,Tudor and Cashel,0.06,740,232,4.2,3.5,0.6,0.0,56.2,47.56,8.64,17.96,15.2,2.76
3522019,Melancthon,0.38,3132,337,17.5,14.9,2.7,0.0,55.95,47.41,8.53,52.0,44.06,7.92
3518013,Oshawa,5.0,175383,23832,961.2,818.5,123.7,19.0,54.8,46.67,7.05,40.33,34.34,5.19
3552036,Killarney,0.03,397,94,2.2,1.7,0.5,0.0,54.66,41.72,12.38,,,
3531030,Perth East,1.37,12595,4094,65.4,60.3,4.6,0.6,51.95,47.87,3.64,15.98,14.73,1.12
3526037,Thorold,1.24,23816,3337,121.3,103.4,17.7,0.2,50.91,43.41,7.44,36.33,30.98,5.31
3532002,Norwich,0.84,11151,2731,56.7,48.8,7.0,1.0,50.84,43.73,6.25,20.76,17.85,2.55
3539033,Middlesex Centre,1.08,18928,4898,96.0,86.9,8.8,0.3,50.7,45.91,4.65,19.59,17.74,1.8
3534020,Central Elgin,1.2,13746,2649,69.5,61.6,6.1,1.8,50.59,44.8,4.46,26.26,23.25,2.31
3546018,Algonquin Highlands,0.19,2588,530,13.0,11.1,1.9,0.0,50.14,42.76,7.38,24.47,20.87,3.6
3542045,The Blue Mountains,0.72,9390,2335,47.1,38.1,9.0,0.0,50.13,40.56,9.58,20.16,16.31,3.85
3537001,Pelee,0.05,230,90,1.1,0.8,0.3,0.0,49.57,35.4,14.16,,,
3547075,Laurentian Valley,0.87,9450,2938,43.5,33.9,9.6,0.0,45.99,35.87,10.12,14.79,11.54,3.25
3541056,Chief's Point No. 28,0.0,15,5,0.1,0.1,0.0,0.0,45.68,39.72,5.96,,,
3547043,Admaston/Bromley,0.55,2995,1018,13.5,9.8,3.7,0.0,45.09,32.6,12.49,13.26,9.59,3.67
3512051,Limerick,0.03,436,109,2.0,1.7,0.3,0.0,45.03,38.15,6.88,17.93,15.19,2.74
