csduid,name,population
3520005,Toronto,2794356
3506008,Ottawa,1017449
3521005,Mississauga,717961
3521010,Brampton,656480
3525005,Hamilton,569353
3539036,London,422324
3519036,Markham,338503
3519028,Vaughan,323103
3530013,Kitchener,256885
3537039,Windsor,229660
3524001,Oakville,213759
3519038,Richmond Hill,202022
3524002,Burlington,186948
3518013,Oshawa,175383
3553005,Greater Sudbury / Grand Sudbury,166004
3543042,Barrie,147829
3523008,Guelph,143740
3518009,Whitby,138501
3530010,Cambridge,138479
3526053,St. Catharines,136803
3524009,Milton,132979
3510010,Kingston,132485
3518005,Ajax,126666
3530016,Waterloo,121436
3558004,Thunder Bay,108843
3529006,Brantford,104688
3536020,Chatham-Kent,103988
3518017,Clarington,101427
3518001,Pickering,99186
3526043,Niagara Falls,94415
3519048,Newmarket,87942
3515014,Peterborough,83651
3516010,Kawartha Lakes,79247
3521024,Caledon,76581
3557061,Sault Ste. Marie,72051
3538030,Sarnia,72047
3528052,Norfolk County,67490
3524015,Halton Hills,62951
3519046,Aurora,62057
3526032,Welland,55750
3512005,Belleville,55071
3548044,North Bay,52662
3519044,Whitchurch-Stouffville,49864
3528018,Haldimand County,49216
3501012,Cornwall,47845
3519070,Georgina,47642
3532042,Woodstock,46705
3512015,Quinte West,46560
3543007,New Tecumseth,43948
3543017,Innisfil,43326
3543014,Bradford West Gwillimbury,42880
3534021,St. Thomas,42840
3556027,Timmins,41145
3537064,Lakeshore,40410
3529005,Brant,39474
3519054,East Gwillimbury,34637
3543052,Orillia,33411
3531011,Stratford,33232
3526003,Fort Erie,32901
3537034,LaSalle,32721
3523025,Centre Wellington,31093
3522014,Orangeville,30167
3537003,Leamington,29680
3526065,Grimsby,28883
3519049,King,27333
3530035,Woolwich,26999
3502036,Clarence-Rockland,26505
3526057,Lincoln,25719
3513020,Prince Edward County,25704
3543064,Wasaga Beach,24862
3543031,Collingwood,24811
3539015,Strathroy-Caradoc,23871
3526037,Thorold,23816
3537028,Amherstburg,23524
3537048,Tecumseh,23300
3543023,Oro-Medonte,23017
3543021,Essa,22970
3537013,Kingsville,22119
3507015,Brockville,22116
3543009,Springwater,21701
3542059,Owen Sound,21612
3518020,Scugog,21581
3518029,Uxbridge,21556
3530020,Wilmot,21429
3537016,Essex,21216
3544042,Huntsville,21147
3514021,Cobourg,20519
3510020,South Frontenac,20188
3526011,Port Colborne,20033
3502048,Russell,19598
3526047,Niagara-on-the-Lake,19088
3539033,Middlesex Centre,18928
3515015,Selwyn,18653
3532004,Tillsonburg,18615
3526028,Pelham,18192
3547076,Petawawa,18160
3507065,North Grenville,17964
3511005,Loyalist,17943
3543074,Midland,17817
3544018,Bracebridge,17305
3514020,Port Hope,17294
3511015,Greater Napanee,16879
3541045,Saugeen Shores,15908
3531040,North Perth,15538
3526021,West Lincoln,15454
3560010,Kenora,14967
3543005,Clearview,14814
3509030,Mississippi Mills,14740
3538003,St. Clair,14659
3548055,West Nipissing / Nipissing Ouest,14583
3543015,Severn,14576
3547064,Pembroke,14364
3539027,Thames Centre,13980
3523009,Guelph/Eramosa,13904
3514045,Trent Hills,13861
3534020,Central Elgin,13746
