fsa,total_applications,landlord_filed,tenant_filed,coop_filed,L1,L2,L4,T2,T6,T1,population,total_applications_per_10k,landlord_filed_per_10k,tenant_filed_per_10k
L5T,2,2,0,0,0,0,2,0,0,0,19.0,1052.63,1052.63,0.0
L8N,247,220,27,0,156,19,39,7,11,1,15568.0,158.66,141.32,17.34
N6B,150,135,15,0,78,26,23,4,5,3,11101.0,135.12,121.61,13.51
L9J,27,19,8,0,15,1,1,2,1,4,2272.0,118.84,83.63,35.21
M9N,306,290,14,2,231,20,34,9,3,0,26059.0,117.43,111.29,5.37
P3C,206,170,34,2,84,32,45,13,11,7,17596.0,117.07,96.61,19.32
K1N,284,234,50,0,158,21,31,16,9,15,26639.0,106.61,87.84,18.77
P0Y,1,0,1,0,0,0,0,1,0,0,96.0,104.17,0.0,104.17
M4Y,378,308,63,7,201,35,58,18,10,15,36319.0,104.08,84.8,17.35
L8R,121,110,11,0,70,15,20,7,2,1,11651.0,103.85,94.41,9.44
L8L,328,287,41,0,160,31,69,11,11,4,32312.0,101.51,88.82,12.69
L8M,139,124,15,0,56,18,32,6,5,1,13774.0,100.91,90.02,10.89
M3N,390,381,9,0,274,26,66,5,3,0,40846.0,95.48,93.28,2.2
N9A,248,210,38,0,128,31,31,14,9,8,26107.0,94.99,80.44,14.56
N6A,127,114,12,1,68,16,18,6,5,0,13810.0,91.96,82.55,8.69
M6K,385,331,52,2,184,58,55,16,11,15,42110.0,91.43,78.6,12.35
K1L,163,122,41,0,76,24,17,15,9,9,18213.0,89.5,66.99,22.51
M3A,278,254,23,1,166,49,32,10,2,6,34361.0,80.91,73.92,6.69
M4X,160,137,22,1,88,15,26,9,9,2,19896.0,80.42,68.86,11.06
M5B,138,98,32,8,63,13,5,5,4,7,17422.0,79.21,56.25,18.37
N9C,99,89,10,0,48,15,11,1,1,3,12538.0,78.96,70.98,7.98
L1H,254,219,32,3,129,27,30,6,9,3,32298.0,78.64,67.81,9.91
N8X,129,103,26,0,51,25,10,6,6,2,16457.0,78.39,62.59,15.8
M3J,207,189,18,0,123,20,32,6,3,4,26600.0,77.82,71.05,6.77
K1P,5,4,1,0,2,0,0,1,0,0,645.0,77.52,62.02,15.5
K1Z,176,157,19,0,102,21,28,12,3,1,22714.0,77.49,69.12,8.36
N5W,191,158,31,2,96,21,30,8,11,1,24740.0,77.2,63.86,12.53
L2R,195,173,21,1,100,31,27,12,3,2,25558.0,76.3,67.69,8.22
N5Z,180,161,17,2,93,34,23,10,2,0,24067.0,74.79,66.9,7.06
L8P,184,151,33,0,97,32,18,16,5,4,24773.0,74.27,60.95,13.32
K2P,139,109,28,2,82,16,6,12,5,3,18825.0,73.84,57.9,14.87
M3L,142,137,5,0,105,8,23,1,0,3,19263.0,73.72,71.12,2.6
L1J,303,260,36,7,164,21,62,14,9,6,43107.0,70.29,60.32,8.35
M9M,166,160,6,0,126,5,23,2,0,4,24245.0,68.47,65.99,2.47
M1J,253,235,17,1,148,25,47,5,0,2,37002.0,68.37,63.51,4.59
K1K,219,197,21,1,116,37,27,4,4,2,32046.0,68.34,61.47,6.55
N2M,249,226,23,0,148,28,29,15,3,0,36494.0,68.23,61.93,6.3
L6T,267,256,11,0,182,19,47,5,2,2,39614.0,67.4,64.62,2.78
N7T,175,146,28,1,72,28,27,7,8,4,26033.0,67.22,56.08,10.76
M3M,167,160,7,0,119,16,19,4,1,0,24906.0,67.05,64.24,2.81
L1G,290,254,30,6,166,34,36,10,3,9,43497.0,66.67,58.39,6.9
K2B,215,198,17,0,119,21,49,10,4,1,33254.0,64.65,59.54,5.11
M5G,63,52,11,0,34,9,3,2,1,5,9751.0,64.61,53.33,11.28
M6M,270,246,20,4,151,30,48,7,3,2,42148.0,64.06,58.37,4.75
N2L,242,168,74,0,80,24,24,23,18,26,37953.0,63.76,44.27,19.5
M5T,114,81,33,0,47,13,11,11,6,7,17903.0,63.68,45.24,18.43
K1R,129,112,15,2,69,17,18,5,6,3,20343.0,63.41,55.06,7.37
K1G,222,202,19,1,151,11,35,5,5,4,35074.0,63.29,57.59,5.42
M4P,155,131,24,0,89,12,16,9,6,6,25057.0,61.86,52.28,9.58
K7K,207,184,22,1,94,32,35,7,4,4,33705.0,61.42,54.59,6.53
L8H,160,141,19,0,90,24,16,7,2,6,26187.0,61.1,53.84,7.26
M5R,160,123,36,1,70,28,15,18,8,6,26197.0,61.08,46.95,13.74
L4K,123,103,20,0,63,13,11,4,5,7,20172.0,60.98,51.06,9.91
P3B,100,81,17,2,38,23,17,6,4,2,16434.0,60.85,49.29,10.34
N5Y,218,201,16,1,145,19,29,7,5,3,35934.0,60.67,55.94,4.45
N2C,107,97,10,0,68,15,10,4,2,0,17681.0,60.52,54.86,5.66
