fsa,population_2021,households_total,households_owner,households_renter,pct_renter,median_household_income,median_household_income_after_tax,tenant_households,pct_tenant_subsidized,pct_tenant_shelter_over_30pct,pct_tenant_core_housing_need,median_monthly_rent,average_monthly_rent,rent_to_income_ratio
K0A,111626,42325,36775,5545,13.1,115000,98000,5495,9.7,34.6,20.7,1130,1204,12.6
K0B,21020,8875,7110,1765,19.89,79000,70500,1725,9,31.3,10.1,840,892,13.5
K0C,52838,21605,17705,3900,18.05,84000,74500,3830,11,29.2,9.9,900,966,13.8
K0E,39649,16440,13830,2615,15.91,83000,73500,2590,13.1,31.8,14.1,950,966,14
K0G,39862,16265,14250,2015,12.39,94000,82000,2005,12.2,33.2,21.9,1100,1160,14.8
K0H,47286,19110,17290,1825,9.55,92000,81000,1815,13.8,28.9,23.1,900,979,12.8
K0J,34322,14845,12845,1950,13.14,76000,68000,1925,13.2,28.3,17.1,850,879,13.9
K0K,115850,46955,40055,6590,14.03,83000,74000,6370,13.3,35.2,18.8,1000,1086,15.7
K0L,78142,32960,28895,4015,12.18,79000,70500,3935,19.1,36.8,20.1,950,1020,15.5
K0M,53815,23575,20795,2775,11.77,80000,71000,2755,16.9,33.6,24,970,1047,15.7
K1A,594,330,0,325,98.48,73500,65000,330,0,60.6,10,1980,1870,30.5
K1B,17769,6680,4465,2210,33.08,96000,83000,2215,9.5,28.5,24.7,1390,1350,16.9
K1C,37235,14130,11815,2320,16.42,117000,99000,2315,8,36.9,25.1,1620,1572,16.1
K1E,14508,5785,5075,715,12.36,110000,94000,710,4.9,41.5,24.5,1440,1484,16.2
K1G,35074,14715,7430,7280,49.47,83000,73000,7280,19.9,35.2,26.7,1260,1254,18.1
K1H,16306,7100,4435,2665,37.54,103000,88000,2670,23.8,35.2,24.9,1220,1210,14.1
K1J,28268,11115,7450,3665,32.97,94000,82000,3660,12.3,32.9,26.8,1380,1420,18.1
K1K,32046,14485,5930,8555,59.06,73500,65000,8555,30.3,29.3,24.8,1170,1193,19.5
K1L,18213,9710,3195,6515,67.1,63200,56000,6520,10.1,39,32.2,1120,1166,22.1
K1M,6764,3020,1770,1250,41.39,128000,105000,1255,2.8,30.2,16.4,1500,1664,15.6
K1N,26639,14480,3495,10985,75.86,64000,56800,10985,19.4,38.8,21.2,1280,1308,24.5
K1P,645,425,190,230,54.12,87000,73500,235,0,42.2,9.8,1760,1780,24.6
K1R,20343,11625,3555,8075,69.46,74000,64500,8075,15.5,34.9,21.3,1340,1366,22.2
