REF_DATE,GEO,DGUID,Coordinate,"Population and dwelling counts (3):Population, 2021[1]",Symbol,"Population and dwelling counts (3):Total private dwellings, 2021[2]",Symbol,"Population and dwelling counts (3):Private dwellings occupied by usual residents, 2021[3]",Symbol
2021,Canada,2021A000011124,1,36991981,,16284235,,14978941,
2021,A0A,2021A0011A0A,2,44930,,26102,,19752,
2021,A0B,2021A0011A0B,3,19287,,13265,,9100,
2021,A0C,2021A0011A0C,4,11972,,8069,,5610,
2021,A0E,2021A0011A0E,5,21209,,12623,,9741,
2021,A0G,2021A0011A0G,6,33316,,21177,,14992,
2021,A0H,2021A0011A0H,7,16743,,10841,,7605,
2021,A0J,2021A0011A0J,8,7497,,4696,,3430,
2021,A0K,2021A0011A0K,9,24659,,14914,,11017,
2021,A0L,2021A0011A0L,10,7503,,3871,,3262,
2021,A0M,2021A0011A0M,11,5468,,2958,,2540,
2021,A0N,2021A0011A0N,12,12387,,7581,,5977,
2021,A0P,2021A0011A0P,13,13058,,5176,,4661,
2021,A0R,2021A0011A0R,14,2661,,1401,,1056,
2021,A1A,2021A0011A1A,15,30086,,13520,,12671,
2021,A1B,2021A0011A1B,16,20906,,10326,,9079,
2021,A1C,2021A0011A1C,17,12713,,7562,,6641,
2021,A1E,2021A0011A1E,18,26858,,14123,,12833,
2021,A1G,2021A0011A1G,19,5808,,2741,,2544,
2021,A1H,2021A0011A1H,20,6469,,2530,,2439,
2021,A1K,2021A0011A1K,21,12348,,4968,,4670,
2021,A1L,2021A0011A1L,22,22959,,9332,,8814,
2021,A1M,2021A0011A1M,23,8405,,3354,,3167,
2021,A1N,2021A0011A1N,24,22478,,10686,,9932,
2021,A1S,2021A0011A1S,25,6103,,2557,,2433,
2021,A1V,2021A0011A1V,26,11890,,5429,,5073,
2021,A1W,2021A0011A1W,27,11179,,4668,,4431,
2021,A1X,2021A0011A1X,28,15945,,6676,,6260,
2021,A1Y,2021A0011A1Y,29,5436,,2745,,2429,
2021,A2A,2021A0011A2A,30,9277,,4406,,4091,
2021,A2B,2021A0011A2B,31,4739,,2293,,2099,
2021,A2H,2021A0011A2H,32,25290,,12658,,11325,
2021,A2N,2021A0011A2N,33,8613,,4349,,4052,
2021,A2V,2021A0011A2V,34,7447,,3387,,3089,
2021,A5A,2021A0011A5A,35,8436,,4161,,3575,
2021,A8A,2021A0011A8A,36,6475,,4039,,2863,
2021,B0C,2021A0011B0C,37,2748,,1808,,1235,
2021,B0E,2021A0011B0E,38,25919,,14977,,11613,
2021,B0H,2021A0011B0H,39,9796,,5595,,4410,
2021,B0J,2021A0011B0J,40,41032,,23424,,18777,
2021,B0K,2021A0011B0K,41,35141,,20031,,15903,
2021,B0L,2021A0011B0L,42,2335,,1435,,1082,
2021,B0M,2021A0011B0M,43,17448,,10120,,7844,
2021,B0N,2021A0011B0N,44,40484,,19211,,17411,
2021,B0P,2021A0011B0P,45,41544,,19438,,17644,
2021,B0R,2021A0011B0R,46,6090,,3802,,2819,
2021,B0S,2021A0011B0S,47,17873,,10114,,8445,
2021,B0T,2021A0011B0T,48,14729,,9297,,6954,
2021,B0V,2021A0011B0V,49,5658,,3152,,2752,
2021,B0W,2021A0011B0W,50,25890,,13895,,11887,
