file_number,category,doc_type,order_date,fsa,url,extraction_method,all_amounts_found,fee_amounts_found,primary_amount,amount_type,matched_context,notes
LTB-L-002642-26,L1,Order,2026-03-30,M8Y,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000wcC8UIAU/LTB-L-002642-26-HR.pdf,text,"[1390.6, 45.72, 1390.6, 1422.9]",[],1390.6,stated_total,", the Tenant was still in possession of the rental unit.  3. The lawful rent is >>>$1,390.60<<<. It is due on the 1st day of each month.  4. Based on the Monthly rent, the dai","no operative section found, or it had no dollar mentions at all; fell back to full-document search; explicit stated-total phrasing (""...is \$X"")"
LTB-L-082046-25,L1,Order,2026-01-07,M6K,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000qwg5oIAA/LTB-L-082046-25-HR.pdf,text,"[1838.59, 3047.59, 186.0, 1794.84, 36.02, 1402.73, 3047.59, 186.0, 1794.84, 36.02, 1402.73]","[3047.59, 186.0, 1794.84]",1402.73,arrears,"e Tenant moved out of the rental unit.  2. The Tenant shall pay to the Landlord >>>$1,402.73<<<. This amount includes rent arrears owing  up to the date the Tenant moved out o",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-091481-25,L1,Order,2026-01-26,N5A,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000sjIBWIA2/Consent Order LTB-L-091481-25-L1-2026-01-26.pdf,text,"[1837.98, 1651.98, 186.0, 300.0, 300.0, 300.0, 300.0, 300.0, 337.98]",[],1837.98,arrears,"It is ordered on consent that:  1. The Tenant shall pay to the Landlord >>>$1,837.98<<< which represents $1,651.98 for arrears of  rent and costs of $186.00 for the pe",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-034585-25,L1,Review Order,2026-05-06,L9H,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000zGYFWIA4/LTB-L-034585-25-RV - May 6 2026.pdf,text,[],[],,,,no dollar amount found
LTB-L-005770-26,L1,Order,2026-04-17,M2R,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000xiqYoIAI/LTB-L-005770-26-HR.pdf,text,"[1471.25, 48.37, 1471.25, 2940.0, 8390.46, 186.0, 1200.0, 150.0, 90.0, 150.0, 62.68, 2400.0, 1471.25, 476.47, 390.0, 62.68, 8576.46, 10047.71, 7492.17, 48.37, 11330.46, 186.0, 2940.0, 8576.46, 12801.71, 186.0, 2940.0, 10047.71, 10246.17, 186.0, 2940.0, 7492.17, 50000.0, 48.37]","[11330.46, 186.0, 12801.71, 186.0, 10246.17, 186.0]",10047.71,arrears,"e April 30, 2026. See Schedule 1 for the calculation of the amount owing. OR  • >>>$10,047.71<<< if the payment is made on or before May 31, 2026. See Schedule 1 for the calcul",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-018205-26,L1,Order,2026-05-20,M1L,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000zuRfEIAU/LTB-L-018205-26-L1 - May 20 2026.pdf,text,"[3195.0, 105.04, 3195.0, 8520.0, 4260.0, 186.0, 3395.0, 140.74, 4446.0, 1024.26, 105.04, 12780.0, 186.0, 8520.0, 4446.0, 10845.48, 186.0, 8520.0, 3395.0, 140.74, 50000.0, 105.04]","[1024.26, 12780.0, 186.0, 10845.48, 186.0]",4446.0,arrears,"ion was filed  - $8,520.00  Total the Tenants must pay to continue the tenancy  >>>$4,446.00<<<  B. Amount the Tenants must pay if the tenancy is terminated  Rent Owing to Hea",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-105403-25,L1,Order,2026-03-20,L8N,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000w01nVIAQ/LTB-L-105403-25-HR -SIGN.pdf,text,"[446.0, 120.0, 120.0, 120.0, 866.0]",[],446.0,arrears,"It is ordered on consent that: 1. The Tenant shall pay to the Landlord >>>$446<<<6.00 for arrears of rent up to March 31,  2026, and costs.  2. The Tenant shall",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-081968-25,L1,Order,2026-01-08,K6V,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000rBAGsIAO/LTB-L-081968-25 V-HR.pdf,text,"[1792.72, 5453.65, 186.0, 1749.0, 52.35, 3838.3, 5453.65, 186.0, 1749.0, 52.35, 3838.3]","[5453.65, 186.0, 1749.0]",3838.3,arrears,"e Tenant moved out of the rental unit.  2. The Tenant shall pay to the Landlord >>>$3,838.30<<<. This amount includes rent arrears owing  up to the date the Tenant moved out o",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-018334-26,L1,ExParte Order,2026-03-18,L8N,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000vwmcwIAA/LTB-L-018334-26-EX Certified.pdf,text,[],[],,,,no dollar amount found
LTB-L-099862-25,L1,ExParte Order,2026-01-12,M9N,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000ridggIAA/LTB-L-099862-25-EX-signed.pdf,ocr,[],[],,,,no dollar amount found
LTB-L-090986-25,L1,ExParte Order,2026-01-19,P1B,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000sUpXUIA0/LTB-L-090986-25-EX-signed.pdf,text,[],[],,,,no dollar amount found
LTB-L-096286-25,L1,Order,2026-02-06,M5G,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000tVLAAIA4/LTB-L-096286-25-SIGN.pdf,text,"[75.13, 2285.11, 11233.09, 186.0, 2175.0, 2744.57, 1897.01, 75.13, 13791.66, 186.0, 11233.09, 2744.57, 11325.08, 186.0, 11233.09, 2175.0, 50000.0, 75.13]","[1897.01, 13791.66, 186.0, 11325.08, 186.0]",2744.57,arrears,"tion was filed  - $11,233.09  Total the Tenant must pay to continue the tenancy >>>$2,744.57<<< B. Amount the Tenant must pay if the tenancy is terminated  Rent Owing to Heari",found in operative 'It is ordered that' section; matched expected keyword for category
LTB-L-012064-26,L1,Order,2026-05-05,K8N,https://d3hf2qahezjxpx.cloudfront.net/attachments/exportedBinaries20260723_175229/069N300000yz3MdIAI/LTB-L-012064-26-HR.pdf,text,"[1852.47, 60.9, 1852.47, 4000.0, 5106.76, 186.0, 5292.76, 1852.47, 600.0, 492.76]",[],5292.76,arrears,"It is ordered that:  1. The Tenants shall pay to the Landlords >>>$5,292.76<<< for arrears of rent up to April 30, 2026  and costs.  2. The Tenants shall pay",found in operative 'It is ordered that' section; matched expected keyword for category
