fsa,total_applications,landlord_filed,tenant_filed,coop_filed,L1,L2,L4,T2,T6,T1
M3N,390,381,9,0,274,26,66,5,3,0
M6K,385,331,52,2,184,58,55,16,11,15
M4Y,378,308,63,7,201,35,58,18,10,15
L8L,328,287,41,0,160,31,69,11,11,4
M9V,315,294,17,4,202,25,59,5,3,3
M9N,306,290,14,2,231,20,34,9,3,0
L4N,303,241,56,6,123,48,45,23,16,4
L1J,303,260,36,7,164,21,62,14,9,6
M5A,296,238,55,3,121,70,27,14,10,18
L1G,290,254,30,6,166,34,36,10,3,9
K1N,284,234,50,0,158,21,31,16,9,15
M5V,281,178,101,2,82,30,30,22,13,29
M3A,278,254,23,1,166,49,32,10,2,6
M6M,270,246,20,4,151,30,48,7,3,2
K1V,268,245,21,2,176,32,27,10,3,3
M8V,267,221,35,11,115,41,38,17,4,7
L6T,267,256,11,0,182,19,47,5,2,2
L1H,254,219,32,3,129,27,30,6,9,3
M1J,253,235,17,1,148,25,47,5,0,2
N2M,249,226,23,0,148,28,29,15,3,0
N9A,248,210,38,0,128,31,31,14,9,8
M2J,248,217,31,0,152,12,33,14,6,5
L8N,247,220,27,0,156,19,39,7,11,1
M2R,245,226,19,0,162,28,27,8,3,3
N2L,242,168,74,0,80,24,24,23,18,26
L4M,239,201,38,0,107,41,34,17,6,4
K1G,222,202,19,1,151,11,35,5,5,4
K7M,220,199,21,0,141,21,26,12,2,1
M6H,220,185,35,0,115,33,23,16,1,9
K1K,219,197,21,1,116,37,27,4,4,2
M1K,218,187,29,2,102,43,31,10,7,3
N5Y,218,201,16,1,145,19,29,7,5,3
L6Y,217,186,26,5,126,19,19,15,3,4
L4T,216,210,6,0,177,11,16,2,0,2
K2B,215,198,17,0,119,21,49,10,4,1
M4C,209,186,21,2,115,35,27,8,2,1
K7K,207,184,22,1,94,32,35,7,4,4
M3J,207,189,18,0,123,20,32,6,3,4
P3C,206,170,34,2,84,32,45,13,11,7
L4C,206,165,41,0,86,32,21,13,5,7
L3V,201,168,32,1,88,33,30,10,8,3
N6H,200,184,16,0,123,12,24,3,6,5
M9R,197,182,15,0,123,29,25,5,2,0
L2R,195,173,21,1,100,31,27,12,3,2
N5W,191,158,31,2,96,21,30,8,11,1
L5A,190,161,29,0,107,20,26,9,6,6
M3C,187,177,10,0,119,22,23,3,2,3
N3T,187,162,25,0,112,17,26,12,3,2
L5B,186,152,33,1,102,16,14,11,5,11
L8P,184,151,33,0,97,32,18,16,5,4
K9J,184,156,27,1,85,31,25,10,4,3
N1R,181,157,22,2,84,26,39,10,4,5
N5Z,180,161,17,2,93,34,23,10,2,0
K1Z,176,157,19,0,102,21,28,12,3,1
N7T,175,146,28,1,72,28,27,7,8,4
M1P,175,155,20,0,102,16,21,11,1,4
M1E,172,152,12,8,73,32,37,5,1,4
M2N,171,134,37,0,63,31,19,15,2,10
L7A,169,139,30,0,74,20,10,10,4,6
M3M,167,160,7,0,119,16,19,4,1,0
N1H,167,144,18,5,83,32,24,11,4,2
M9M,166,160,6,0,126,5,23,2,0,4
N5V,164,139,16,9,93,7,26,5,2,4
M9C,164,151,13,0,121,8,20,5,0,3
K1L,163,122,41,0,76,24,17,15,9,9
M4X,160,137,22,1,88,15,26,9,9,2
L8H,160,141,19,0,90,24,16,7,2,6
M5R,160,123,36,1,70,28,15,18,8,6
M1L,160,149,11,0,94,16,24,2,2,2
K6H,159,144,15,0,76,22,30,12,0,1
L8K,158,143,15,0,84,14,36,6,2,4
M9W,157,142,15,0,85,24,22,8,1,3
L6X,156,132,21,3,76,18,18,7,2,6
M4P,155,131,24,0,89,12,16,9,6,6
M4S,155,135,17,3,95,18,15,5,2,6
L6H,153,127,26,0,76,21,12,9,3,6
N6G,152,118,28,6,69,17,18,7,7,5
N6B,150,135,15,0,78,26,23,4,5,3
M1B,148,110,12,26,68,19,13,2,2,3
L3B,148,120,27,1,73,20,13,12,4,3
N6J,147,124,18,5,74,23,19,8,1,3
M6E,145,119,26,0,60,26,19,11,2,5
K6V,144,123,20,1,70,21,23,8,3,2
M3L,142,137,5,0,105,8,23,1,0,3
K9H,141,120,21,0,73,26,11,7,6,4
K2P,139,109,28,2,82,16,6,12,5,3
L8M,139,124,15,0,56,18,32,6,5,1
