file_number,category,filed_by,doc_type,outcome,on_consent,sheriff_referenced
LTB-L-000042-26,L1,landlord,Order,terminated,False,False
LTB-L-000050-26,L1,landlord,Order,terminated,False,False
LTB-L-000067-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-000082-26,L1,landlord,Amended Order,terminated,False,True
LTB-L-000108-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-000114-26,L1,landlord,Order,terminated,False,False
LTB-L-000132-25,L1,landlord,Review Order,terminated,False,False
LTB-L-000134-26,L1,landlord,Order,money_only,True,False
LTB-L-000137-25,L1,landlord,Order,money_only,True,False
LTB-L-000137-25,L1,landlord,Review Order,money_only,True,False
LTB-L-000175-26,L1,landlord,Order,money_only,False,False
LTB-L-000182-26,L1,landlord,Order,money_only,True,False
LTB-L-000194-26,L1,landlord,Order,money_only,False,False
LTB-L-000209-26,L1,landlord,Order,money_only,True,False
LTB-L-000247-26,L1,landlord,Order,money_only,False,False
LTB-L-000285-26,L1,landlord,Order,money_only,True,False
LTB-L-000303-26,L1,landlord,Order,money_only,False,False
LTB-L-000306-26,L1,landlord,Order,terminated,True,True
LTB-L-000312-26,L1,landlord,Order,terminated,True,False
LTB-L-000350-26,L1,landlord,Order,terminated,False,False
LTB-L-000404-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-000416-26,L1,landlord,Order,money_only,True,False
LTB-L-000469-26,L1,landlord,Order,money_only,True,False
LTB-L-000470-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-000482-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-000486-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-000488-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-000492-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-000493-26,L1,landlord,Order,other,False,False
LTB-L-000521-26,L1,landlord,Order,money_only,True,False
LTB-L-000597-26,L1,landlord,Order,money_only,False,False
LTB-L-000622-25,L1,landlord,Order,money_only,True,False
LTB-L-000647-26,L1,landlord,Order,terminated,True,True
LTB-L-000670-26,L1,landlord,Order,terminated,True,True
LTB-L-000681-26,L1,landlord,Order,other,False,False
LTB-L-000714-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-000722-26,L1,landlord,Order,other,False,False
LTB-L-000722-26,L1,landlord,Order,other,False,False
LTB-L-000743-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-000752-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-000760-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-000798-25,L1,landlord,Order,terminated,False,False
LTB-L-000802-26,L1,landlord,Order,other,False,False
LTB-L-000857-26,L1,landlord,Order,terminated,True,True
LTB-L-000860-26,L1,landlord,Order,terminated,False,False
LTB-L-000870-26,L1,landlord,ExParte Order,other,False,False
LTB-L-000889-26,L1,landlord,Amended Order,money_only,True,False
LTB-L-000898-26,L1,landlord,Order,terminated,False,False
LTB-L-000907-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-000908-26,L1,landlord,Order,money_only,False,False
LTB-L-000914-26,L1,landlord,Order,dismissed,False,False
LTB-L-000926-26,L1,landlord,ExParte Order,other,False,False
LTB-L-000959-26,L1,landlord,ExParte Order,other,False,False
LTB-L-001015-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001018-26,L1,landlord,Order,terminated,True,True
LTB-L-001027-26,L1,landlord,Order,dismissed,False,False
LTB-L-001031-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001043-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001068-26,L1,landlord,Order,dismissed,False,False
LTB-L-001070-26,L1,landlord,Order,money_only,True,False
LTB-L-001078-26,L1,landlord,ExParte Order,other,False,False
LTB-L-001087-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-001131-26,L1,landlord,Order,other,False,False
LTB-L-001140-26,L1,landlord,Order,money_only,True,False
LTB-L-001145-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001146-26,L1,landlord,Order,money_only,True,False
LTB-L-001153-26,L1,landlord,Order,dismissed,False,False
LTB-L-001162-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001172-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001190-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001193-26,L1,landlord,Order,other,False,False
LTB-L-001210-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001234-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001250-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001263-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001280-26,L1,landlord,Order,other,False,False
LTB-L-001302-26,L1,landlord,Order,money_only,True,False
LTB-L-001308-26,L1,landlord,Order,money_only,True,False
LTB-L-001322-26,L1,landlord,Order,other,False,False
LTB-L-001323-26,L1,landlord,ExParte Order,other,False,False
LTB-L-001326-26,L1,landlord,ExParte Order,other,False,False
LTB-L-001381-26,L1,landlord,Order,terminated,False,False
LTB-L-001408-26,L1,landlord,Order,terminated,False,True
LTB-L-001416-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-001426-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001456-26,L1,landlord,Order,money_only,True,False
LTB-L-001462-26,L1,landlord,Order,dismissed,False,False
LTB-L-001488-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001518-26,L1,landlord,Order,terminated,False,False
LTB-L-001518-26,L1,landlord,Order,terminated,False,False
LTB-L-001532-26,L1,landlord,Order,terminated,False,False
LTB-L-001546-26,L1,landlord,Order,dismissed,False,False
LTB-L-001566-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001571-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001609-26,L1,landlord,Order,terminated,True,True
LTB-L-001619-26,L1,landlord,ExParte Order,other,False,False
LTB-L-001625-26,L1,landlord,Order,money_only,True,False
LTB-L-001634-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001643-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001663-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001665-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001715-26,L1,landlord,Order,terminated,False,False
LTB-L-001732-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001736-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001742-26,L1,landlord,Order,other,False,False
LTB-L-001757-26,L1,landlord,Amended Order,terminated_voidable,False,True
LTB-L-001763-26,L1,landlord,Order,other,False,False
LTB-L-001776-26,L1,landlord,Order,terminated,False,False
LTB-L-001792-26,L1,landlord,Order,money_only,True,False
LTB-L-001804-26,L1,landlord,Order,money_only,True,False
LTB-L-001812-26,L1,landlord,ExParte Order,other,False,False
LTB-L-001818-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001846-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-001869-26,L1,landlord,Order,money_only,True,False
LTB-L-001936-26,L1,landlord,Order,money_only,False,False
LTB-L-001948-26,L1,landlord,Order,other,False,False
LTB-L-001950-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002004-26,L1,landlord,Order,dismissed,False,False
LTB-L-002031-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-002053-26,L1,landlord,Order,money_only,True,False
LTB-L-002061-26,L1,landlord,Review Order,money_only,True,False
