file_number,category,filed_by,doc_type,outcome,on_consent,sheriff_referenced
LTB-L-037727-25,A1,unknown,Order,dismissed,False,False
LTB-L-040204-25,A1,unknown,Order,dismissed,False,False
LTB-L-042790-25,A1,unknown,Order,other,False,False
LTB-L-046265-25,A1,unknown,Order,other,True,True
LTB-L-050599-25,A1,unknown,Order,dismissed,False,False
LTB-L-051440-25,A1,unknown,Order,other,False,False
LTB-L-068454-25,A1,unknown,Order,dismissed,False,False
LTB-L-095501-25,A1,unknown,Order,other,False,False
LTB-T-000786-26,A1,unknown,Order,other,False,False
LTB-T-001306-26,A1,unknown,Order,other,False,False
LTB-T-016061-25,A1,unknown,Order,dismissed,False,False
LTB-T-037318-25,A1,unknown,Order,dismissed,False,False
LTB-T-044567-25,A1,unknown,Order,dismissed,False,False
LTB-T-071495-25,A1,unknown,Order,dismissed,False,False
LTB-T-086812-23,A1,unknown,Order,dismissed,False,False
LTB-L-000472-25,A2,unknown,Order,terminated,False,True
LTB-L-018621-25,A2,unknown,Review Order,other,False,False
LTB-L-026170-25,A2,unknown,Review Order,other,False,False
LTB-L-026211-25,A2,unknown,Order,terminated,False,True
LTB-L-031493-24,A2,unknown,Order,terminated,False,True
LTB-L-036412-25,A2,unknown,Order,terminated,False,True
LTB-L-048544-25,A2,unknown,Order,money_only,False,False
LTB-L-049505-25,A2,unknown,Order,dismissed,False,False
LTB-L-054505-25,A2,unknown,Review Order,other,False,False
LTB-L-057526-25,A2,unknown,Order,terminated,False,False
LTB-L-057540-25,A2,unknown,Order,terminated,False,True
LTB-L-057757-25,A2,unknown,Order,terminated,False,True
LTB-L-069286-25,A2,unknown,Order,terminated,False,True
LTB-L-071130-25,A2,unknown,Order,dismissed,False,False
LTB-L-073799-25,A2,unknown,Order,other,False,False
LTB-L-076295-25,A2,unknown,Order,terminated,False,True
LTB-L-077358-25,A2,unknown,Order,terminated,False,True
LTB-L-081039-25,A2,unknown,Order,dismissed,False,False
LTB-L-081074-25,A2,unknown,Order,terminated,False,True
LTB-L-081117-25,A2,unknown,Order,dismissed,False,False
LTB-L-082818-25,A2,unknown,Order,withdrawn,False,False
LTB-L-082975-25,A2,unknown,Order,dismissed,False,False
LTB-L-083621-24,A2,unknown,Order,dismissed,False,False
LTB-L-085900-25,A2,unknown,Order,other,False,False
LTB-L-088711-25,A2,unknown,Order,other,True,True
LTB-L-091963-25,A2,unknown,Order,terminated,True,True
LTB-L-097432-25,A2,unknown,Order,terminated,True,True
LTB-L-097444-25,A2,unknown,Order,other,False,False
LTB-L-099119-25,A2,unknown,Order,terminated,False,True
LTB-L-099829-25,A2,unknown,Order,terminated,True,True
LTB-L-101921-25,A2,unknown,Amended Order,terminated,False,False
LTB-L-102191-25,A2,unknown,Order,terminated,False,True
LTB-L-104442-25,A2,unknown,Order,terminated,False,True
LTB-L-104561-25,A2,unknown,Order,other,False,False
LTB-T-018404-25,A2,unknown,Order,dismissed,False,False
LTB-T-030283-25,A2,unknown,Order,dismissed,False,False
LTB-T-036020-25,A2,unknown,Order,other,False,False
LTB-T-077403-25,A2,unknown,Order,withdrawn,False,False
LTB-T-085755-25,A2,unknown,Order,other,False,False
LTB-T-101926-24,A2,unknown,Order,dismissed,False,False
LTB-T-101926-24,A2,unknown,Order,dismissed,False,False
LTB-T-102045-24,A2,unknown,Order,terminated,False,False
LTB-C-001313-26,C1,co-op,Order,other,False,False
LTB-C-010712-26,C1,co-op,Order,other,False,True
LTB-C-012862-26,C1,co-op,Order,other,False,True
LTB-C-024971-26,C1,co-op,Order,other,True,False
LTB-C-029481-26,C1,co-op,Order,other,True,True
LTB-C-032500-26,C1,co-op,Order,other,False,True
LTB-C-037737-25,C1,co-op,Order,other,False,True
LTB-C-047877-25,C1,co-op,Order,other,True,False
LTB-C-057697-25,C1,co-op,Order,other,False,True
LTB-C-076715-25,C1,co-op,Order,other,True,False
LTB-C-090134-25,C1,co-op,Order,other,True,True
LTB-C-091004-25,C1,co-op,Order,other,True,False
LTB-C-093503-25,C1,co-op,Order,other,False,True
LTB-C-099881-25,C1,co-op,Order,other,True,False
LTB-C-099994-25,C1,co-op,Order,other,False,False
LTB-C-103763-25,C1,co-op,Review Order,other,True,False
LTB-C-103763-25,C1,co-op,Order,other,True,False
LTB-C-106100-25,C1,co-op,Order,other,True,False
LTB-C-107437-25,C1,co-op,Order,other,True,False
LTB-C-005356-26,C2,co-op,Order,other,True,False
LTB-C-008026-25,C2,co-op,Order,other,False,False
LTB-C-011607-26,C2,co-op,Order,other,True,False
LTB-C-030775-25,C2,co-op,Order,other,False,False
LTB-C-044217-24,C2,co-op,Order,other,False,False
LTB-C-055915-24,C2,co-op,Review Order,other,False,False
LTB-C-080299-25,C2,co-op,Order,other,True,False
LTB-C-093184-25,C2,co-op,Order,other,True,False
LTB-C-102589-25,C2,co-op,Order,other,False,False
LTB-C-106014-25,C2,co-op,Order,other,False,False
LTB-C-108009-25,C2,co-op,Order,other,True,False
LTB-C-004666-26,C4,co-op,Order,other,False,False
LTB-C-010048-26,C4,co-op,ExParte Order,other,False,True
LTB-C-011716-26,C4,co-op,Order,other,False,False
LTB-C-021423-26,C4,co-op,ExParte Order,other,False,True
LTB-C-023450-26,C4,co-op,Order,other,False,False
LTB-C-023497-26,C4,co-op,Order,other,False,False
LTB-C-036845-26,C4,co-op,ExParte Order,other,False,True
LTB-C-039176-26,C4,co-op,ExParte Order,other,False,True
LTB-C-043141-26,C4,co-op,ExParte Order,other,False,True
LTB-C-094902-25,C4,co-op,Order,other,True,False
LTB-C-095480-25,C4,co-op,Order,other,True,False
LTB-C-099505-25,C4,co-op,Order,other,False,False
LTB-C-108056-25,C4,co-op,ExParte Order,other,False,True
LTB-C-108916-25,C4,co-op,Order,other,False,True
LTB-L-000042-26,L1,landlord,Order,terminated,False,False
LTB-L-000050-26,L1,landlord,Order,terminated,False,False
LTB-L-000067-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-000082-26,L1,landlord,Amended Order,terminated,False,True
LTB-L-000108-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-000114-26,L1,landlord,Order,terminated,False,False
LTB-L-000132-25,L1,landlord,Review Order,terminated,False,False
LTB-L-000134-26,L1,landlord,Order,money_only,True,False
LTB-L-000137-25,L1,landlord,Order,money_only,True,False
LTB-L-000137-25,L1,landlord,Review Order,money_only,True,False
LTB-L-000175-26,L1,landlord,Order,money_only,False,False
LTB-L-000182-26,L1,landlord,Order,money_only,True,False
LTB-L-000194-26,L1,landlord,Order,money_only,False,False
LTB-L-000209-26,L1,landlord,Order,money_only,True,False
LTB-L-000247-26,L1,landlord,Order,money_only,False,False
LTB-L-000285-26,L1,landlord,Order,money_only,True,False
LTB-L-000303-26,L1,landlord,Order,money_only,False,False
LTB-L-000306-26,L1,landlord,Order,terminated,True,True
LTB-L-000312-26,L1,landlord,Order,terminated,True,False
LTB-L-000350-26,L1,landlord,Order,terminated,False,False
LTB-L-000404-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-000416-26,L1,landlord,Order,money_only,True,False
LTB-L-000470-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-000482-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-000486-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-000488-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-000492-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-000493-26,L1,landlord,Order,other,False,False
LTB-L-000521-26,L1,landlord,Order,money_only,True,False
LTB-L-000597-26,L1,landlord,Order,money_only,False,False
LTB-L-000622-25,L1,landlord,Order,money_only,True,False
LTB-L-000647-26,L1,landlord,Order,terminated,True,True
LTB-L-000670-26,L1,landlord,Order,terminated,True,True
LTB-L-000681-26,L1,landlord,Order,other,False,False
LTB-L-000714-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-000722-26,L1,landlord,Order,other,False,False
LTB-L-000722-26,L1,landlord,Order,other,False,False
LTB-L-000743-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-000752-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-000760-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-000798-25,L1,landlord,Order,terminated,False,False
LTB-L-000802-26,L1,landlord,Order,other,False,False
LTB-L-000857-26,L1,landlord,Order,terminated,True,True
LTB-L-000860-26,L1,landlord,Order,terminated,False,False
LTB-L-000870-26,L1,landlord,ExParte Order,other,False,False
LTB-L-000889-26,L1,landlord,Amended Order,money_only,True,False
LTB-L-000898-26,L1,landlord,Order,terminated,False,False
LTB-L-000907-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-000908-26,L1,landlord,Order,money_only,False,False
LTB-L-000914-26,L1,landlord,Order,dismissed,False,False
LTB-L-000926-26,L1,landlord,ExParte Order,other,False,False
LTB-L-000959-26,L1,landlord,ExParte Order,other,False,False
LTB-L-001015-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001027-26,L1,landlord,Order,dismissed,False,False
LTB-L-001031-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001043-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001068-26,L1,landlord,Order,dismissed,False,False
LTB-L-001070-26,L1,landlord,Order,money_only,True,False
LTB-L-001078-26,L1,landlord,ExParte Order,other,False,False
LTB-L-001087-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-001131-26,L1,landlord,Order,other,False,False
LTB-L-001140-26,L1,landlord,Order,money_only,True,False
LTB-L-001145-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001146-26,L1,landlord,Order,money_only,True,False
LTB-L-001153-26,L1,landlord,Order,dismissed,False,False
LTB-L-001162-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001172-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001193-26,L1,landlord,Order,other,False,False
LTB-L-001210-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001234-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001250-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001263-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001280-26,L1,landlord,Order,other,False,False
LTB-L-001302-26,L1,landlord,Order,money_only,True,False
LTB-L-001308-26,L1,landlord,Order,money_only,True,False
LTB-L-001322-26,L1,landlord,Order,other,False,False
LTB-L-001323-26,L1,landlord,ExParte Order,other,False,False
LTB-L-001326-26,L1,landlord,ExParte Order,other,False,False
LTB-L-001381-26,L1,landlord,Order,terminated,False,False
LTB-L-001408-26,L1,landlord,Order,terminated,False,True
LTB-L-001416-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-001426-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-001456-26,L1,landlord,Order,money_only,True,False
LTB-L-001462-26,L1,landlord,Order,dismissed,False,False
LTB-L-001518-26,L1,landlord,Order,terminated,False,False
