fsa,landlord_filed,tenant_filed,total_cases,renter_households,cases_per_1000_renter_households,landlord_cases_per_1000_renter_households,tenant_per_landlord_ratio,median_household_income,pct_tenant_core_housing_need,pct_tenant_shelter_over_30pct,pct_renter,average_monthly_rent,rent_to_income_ratio
K0A,82,14,96,5545,17.3,14.8,0.171,115000.0,20.7,34.6,13.1,1204.0,12.6
K0B,12,5,17,1765,9.6,6.8,0.417,79000.0,10.1,31.3,19.89,892.0,13.5
K0C,45,10,55,3900,14.1,11.5,0.222,84000.0,9.9,29.2,18.05,966.0,13.8
K0E,54,15,69,2615,26.4,20.7,0.278,83000.0,14.1,31.8,15.91,966.0,14.0
K0G,22,2,24,2015,11.9,10.9,0.091,94000.0,21.9,33.2,12.39,1160.0,14.8
K0H,27,6,33,1825,18.1,14.8,0.222,92000.0,23.1,28.9,9.55,979.0,12.8
K0J,12,3,15,1950,7.7,6.2,0.25,76000.0,17.1,28.3,13.14,879.0,13.9
K0K,89,25,114,6590,17.3,13.5,0.281,83000.0,18.8,35.2,14.03,1086.0,15.7
K0L,56,11,67,4015,16.7,13.9,0.196,79000.0,20.1,36.8,12.18,1020.0,15.5
K0M,53,10,63,2775,22.7,19.1,0.189,80000.0,24.0,33.6,11.77,1047.0,15.7
K1B,15,1,16,2210,7.2,6.8,0.067,96000.0,24.7,28.5,33.08,1350.0,16.9
K1C,16,12,28,2320,12.1,6.9,0.75,117000.0,25.1,36.9,16.42,1572.0,16.1
K1E,13,2,15,715,21.0,18.2,0.154,110000.0,24.5,41.5,12.36,1484.0,16.2
K1G,180,17,198,7280,27.1,24.7,0.094,83000.0,26.7,35.2,49.47,1254.0,18.1
K1H,34,3,37,2665,13.9,12.8,0.088,103000.0,24.9,35.2,37.54,1210.0,14.1
K1J,60,10,71,3665,19.1,16.4,0.167,94000.0,26.8,32.9,32.97,1420.0,18.1
K1K,161,19,181,8555,21.0,18.8,0.118,73500.0,24.8,29.3,59.06,1193.0,19.5
K1L,107,30,137,6515,21.0,16.4,0.28,63200.0,32.2,39.0,67.1,1166.0,22.1
K1M,6,5,11,1250,8.8,4.8,0.833,128000.0,16.4,30.2,41.39,1664.0,15.6
K1N,212,42,254,10985,23.1,19.3,0.198,64000.0,21.2,38.8,75.86,1308.0,24.5
K1P,4,1,5,230,21.7,17.4,0.25,87000.0,9.8,42.2,54.12,1780.0,24.6
K1R,104,13,119,8075,14.5,12.9,0.125,74000.0,21.3,34.9,69.46,1366.0,22.2
K1S,92,20,112,7000,16.0,13.1,0.217,106000.0,16.2,39.4,48.7,1576.0,17.8
K1T,73,18,94,3635,25.0,20.1,0.247,107000.0,29.1,35.6,26.66,1458.0,16.4
K1V,221,18,241,9170,26.1,24.1,0.081,93000.0,27.6,31.6,41.65,1286.0,16.6
K1W,11,4,15,640,23.4,17.2,0.364,141000.0,9.6,28.3,13.81,1900.0,16.2
K1X,4,1,5,265,18.9,15.1,0.25,133000.0,15.7,33.3,17.32,1940.0,17.5
K1Y,73,13,86,4930,17.4,14.8,0.178,99000.0,20.0,31.9,48.64,1414.0,17.1
K1Z,138,17,155,6710,23.1,20.6,0.123,77000.0,26.4,30.3,62.62,1213.0,18.9
K2A,36,8,44,3020,14.6,11.9,0.222,105000.0,28.1,40.3,40.43,1364.0,15.6
K2B,166,15,181,9615,18.8,17.3,0.09,72000.0,28.2,33.7,63.97,1276.0,21.3
K2C,72,19,91,5595,16.3,12.9,0.264,86000.0,23.8,37.8,45.14,1420.0,19.8
K2E,40,6,47,3630,12.7,11.0,0.15,89000.0,28.2,38.7,44.38,1528.0,20.6
K2G,69,16,85,4955,17.2,13.9,0.232,114000.0,19.6,35.3,27.63,1688.0,17.8
K2H,55,8,63,2560,24.6,21.5,0.145,100000.0,24.5,34.8,23.55,1468.0,17.6
K2J,60,19,79,5175,15.3,11.6,0.317,122000.0,17.3,35.0,18.86,1870.0,18.4
K2K,33,11,47,2815,15.6,11.7,0.333,116000.0,17.3,49.6,29.95,1990.0,20.6
K2L,13,5,18,1205,14.9,10.8,0.385,106000.0,19.7,27.5,16.81,1436.0,16.3
K2M,12,1,14,1350,9.6,8.9,0.083,133000.0,16.0,25.0,13.54,1724.0,15.6
K2P,94,24,119,10140,11.6,9.3,0.255,66500.0,20.5,34.5,80.99,1290.0,23.3
K2R,1,0,1,20,50.0,50.0,0.0,164000.0,0.0,0.0,4.82,1600.0,11.7
K2S,21,5,26,1825,14.2,11.5,0.238,137000.0,15.7,42.5,13.35,2214.0,19.4
K2T,13,6,19,870,21.8,14.9,0.462,141000.0,16.5,36.6,21.97,2028.0,17.3
K2V,16,4,20,925,21.6,17.3,0.25,128000.0,13.6,31.5,25.98,2088.0,19.6
K2W,2,0,2,275,7.3,7.3,0.0,159000.0,10.6,31.5,10.28,2060.0,15.5
K4A,43,11,54,2905,18.6,14.8,0.256,128000.0,16.9,37.1,13.53,1924.0,18.0
K4B,1,2,3,220,13.6,4.5,2.0,129000.0,22.0,27.9,12.94,1230.0,11.4
